2025-03-26 14:57:07,142:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -140.41316419824994
2025-03-26 14:57:07,142:INFO:Step: {}, Action: 2, Reward: -0.9722805939064523, Total Reward: -141.3854447921564
2025-03-26 14:57:07,142:INFO:Step: {}, Action: 1, Reward: 37.326658448528704, Total Reward: -104.05878634362769
2025-03-26 14:57:07,143:INFO:Step: {}, Action: 0, Reward: 4.81712250918479, Total Reward: -99.2416638344429
2025-03-26 14:57:07,143:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -99.2416638344429
2025-03-26 14:57:07,143:INFO:Step: {}, Action: 1, Reward: -6.161933086436945, Total Reward: -105.40359692087985
2025-03-26 14:57:07,143:INFO:Step: {}, Action: 2, Reward: 6.975034403885282, Total Reward: -98.42856251699456
2025-03-26 14:57:07,144:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -98.42856251699456
2025-03-26 14:57:07,144:INFO:Step: {}, Action: 1, Reward: -11.899529042386071, Total Reward: -110.32809155938062
2025-03-26 14:57:07,144:INFO:Step: {}, Action: 2, Reward: -17.2792814829442, Total Reward: -127.60737304232482
2025-03-26 14:57:07,145:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -127.60737304232482
2025-03-26 14:57:07,145:INFO:Step: {}, Action: 0, Reward: 42.44050162097025, Total Reward: -85.16687142135457
2025-03-26 14:57:07,145:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -85.16687142135457
2025-03-26 14:57:07,145:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -85.16687142135457
2025-03-26 14:57:07,146:INFO:Step: {}, Action: 0, Reward: 21.847572141188586, Total Reward: -63.319299280165986
2025-03-26 14:57:07,146:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -63.319299280165986
2025-03-26 14:57:07,146:INFO:Step: {}, Action: 1, Reward: -29.73058637084028, Total Reward: -93.04988565100626
2025-03-26 14:57:07,146:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -93.04988565100626
2025-03-26 14:57:07,147:INFO:Step: {}, Action: 2, Reward: 15.042441173309664, Total Reward: -78.0074444776966
2025-03-26 14:57:07,147:INFO:Step: {}, Action: 1, Reward: -2.335018333050091, Total Reward: -80.34246281074668
2025-03-26 14:57:07,147:INFO:Step: {}, Action: 0, Reward: -1.6404406475954352, Total Reward: -81.98290345834212
2025-03-26 14:57:07,147:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -81.98290345834212
2025-03-26 14:57:07,148:INFO:Step: {}, Action: 2, Reward: 6.825895424753523, Total Reward: -75.1570080335886
2025-03-26 14:57:07,148:INFO:Step: {}, Action: 0, Reward: -14.8425114792624, Total Reward: -89.999519512851
2025-03-26 14:57:07,148:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -89.999519512851
2025-03-26 14:57:07,148:INFO:Step: {}, Action: 0, Reward: -30.2208104471361, Total Reward: -120.2203299599871
2025-03-26 14:57:07,149:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -120.2203299599871
2025-03-26 14:57:07,149:INFO:Step: {}, Action: 0, Reward: 1.4774299006657863, Total Reward: -118.74290005932131
2025-03-26 14:57:07,149:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -118.74290005932131
2025-03-26 14:57:07,150:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -118.74290005932131
2025-03-26 14:57:07,150:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -118.74290005932131
